Time Series Search Export,Search term,Search filters,,Last update of Locational banking statistics data,Downloaded at,Source,Source URL,Download URL,About Locational banking statistics
,,TIMESPAN:Timespan,2015-10-27_2025-10-27:,2025-09-15,2025-10-27 22:22 CET,BIS,https://data.bis.org/topics/LBS/BIS%2CWS_LBS_D_PUB%2C1.0/Q.G.C.A.TO1.A.5J.A.LU.A.PK.N?view=chart&filter=TIMESPAN%3D2015-10-27_2025-10-27,https://data.bis.org/topics/LBS/BIS%2CWS_LBS_D_PUB%2C1.0/Q.G.C.A.TO1.A.5J.A.LU.A.PK.N?view=chart&filter=TIMESPAN%3D2015-10-27_2025-10-27&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/LBS

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,L_MEASURE:Measure,L_POSITION:Balance sheet position,L_INSTR:Type of instruments,L_DENOM:Currency denomination,L_CURR_TYPE:Currency type of reporting country,L_PARENT_CTY:Parent country,L_REP_BANK_TYPE:Type of reporting institutions,L_REP_CTY:Reporting country,L_CP_SECTOR:Counterparty sector,L_CP_COUNTRY:Counterparty country,L_POS_TYPE:Position type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2018-12-31,F:Free,,A:Normal value,-85.08
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2019-03-31,F:Free,,A:Normal value,-2.26
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2019-06-30,F:Free,,A:Normal value,-88.84
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2019-09-30,F:Free,,A:Normal value,-63.03
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2019-12-31,F:Free,,A:Normal value,19.24
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2020-03-31,F:Free,,A:Normal value,-35.98
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2020-06-30,F:Free,,A:Normal value,-81.78
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2020-09-30,F:Free,,A:Normal value,19881.76
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2020-12-31,F:Free,,A:Normal value,8062.46
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2021-03-31,F:Free,,A:Normal value,249.4
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2021-06-30,F:Free,,A:Normal value,1260.13
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2021-09-30,F:Free,,A:Normal value,-54.09
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2021-12-31,F:Free,,A:Normal value,-93.01
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2022-03-31,F:Free,,A:Normal value,719.45
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2022-06-30,F:Free,,A:Normal value,55.39
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2022-09-30,F:Free,,A:Normal value,-91.79
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2022-12-31,F:Free,,A:Normal value,2721.74
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2023-03-31,F:Free,,A:Normal value,-93.09
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2023-06-30,F:Free,,A:Normal value,-62.94
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2023-09-30,F:Free,,A:Normal value,-66.31
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2023-12-31,F:Free,,A:Normal value,-97.98
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2024-03-31,F:Free,,A:Normal value,-19.59
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2024-06-30,F:Free,,A:Normal value,-9.54
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2024-09-30,F:Free,,A:Normal value,1061934.11
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2024-12-31,F:Free,,A:Normal value,189044.62
"BIS,WS_LBS_D_PUB,1.0",Q.G.C.A.TO1.A.5J.A.LU.A.PK.N,Q:Quarterly,G:Annual growth (BIS calculated),C:Total claims,A:All instruments,TO1:All currencies,A:All currencies (=D+F+U),5J:All countries (total),"A:All reporting banks/institutions (domestic, foreign, consortium and unclassified)",LU:Luxembourg,A:All sectors,PK:Pakistan,N:Cross-border,US dollar,Millions,2025-03-31,F:Free,,A:Normal value,913866.95
